datetime,VW05
1/1/2006 0:00,
1/1/2006 1:00,
1/1/2006 2:00,
1/1/2006 3:00,
1/1/2006 4:00,
1/1/2006 5:00,
1/1/2006 6:00,
1/1/2006 7:00,
1/1/2006 8:00,
1/1/2006 9:00,
1/1/2006 10:00,
1/1/2006 11:00,
1/1/2006 12:00,
1/1/2006 13:00,
1/1/2006 14:00,
1/1/2006 15:00,
1/1/2006 16:00,
1/1/2006 17:00,
1/1/2006 18:00,
1/1/2006 19:00,
1/1/2006 20:00,
1/1/2006 21:00,
1/1/2006 22:00,
1/1/2006 23:00,
1/2/2006 0:00,
1/2/2006 1:00,
1/2/2006 2:00,
1/2/2006 3:00,
1/2/2006 4:00,
1/2/2006 5:00,
1/2/2006 6:00,
1/2/2006 7:00,
1/2/2006 8:00,
1/2/2006 9:00,
1/2/2006 10:00,
1/2/2006 11:00,
1/2/2006 12:00,
1/2/2006 13:00,
1/2/2006 14:00,
1/2/2006 15:00,
1/2/2006 16:00,
1/2/2006 17:00,
1/2/2006 18:00,
1/2/2006 19:00,
1/2/2006 20:00,
1/2/2006 21:00,
1/2/2006 22:00,
1/2/2006 23:00,
1/3/2006 0:00,
1/3/2006 1:00,
1/3/2006 2:00,
1/3/2006 3:00,
1/3/2006 4:00,
1/3/2006 5:00,
1/3/2006 6:00,
1/3/2006 7:00,
1/3/2006 8:00,
1/3/2006 9:00,
1/3/2006 10:00,
1/3/2006 11:00,
1/3/2006 12:00,
1/3/2006 13:00,
1/3/2006 14:00,
1/3/2006 15:00,
1/3/2006 16:00,
1/3/2006 17:00,
1/3/2006 18:00,
1/3/2006 19:00,
1/3/2006 20:00,
1/3/2006 21:00,
1/3/2006 22:00,
1/3/2006 23:00,
1/4/2006 0:00,
1/4/2006 1:00,
1/4/2006 2:00,
1/4/2006 3:00,
1/4/2006 4:00,
1/4/2006 5:00,
1/4/2006 6:00,
1/4/2006 7:00,
1/4/2006 8:00,
1/4/2006 9:00,
1/4/2006 10:00,
1/4/2006 11:00,
1/4/2006 12:00,
1/4/2006 13:00,
1/4/2006 14:00,
1/4/2006 15:00,
1/4/2006 16:00,
1/4/2006 17:00,
1/4/2006 18:00,
1/4/2006 19:00,
1/4/2006 20:00,
1/4/2006 21:00,
1/4/2006 22:00,
1/4/2006 23:00,
1/5/2006 0:00,
1/5/2006 1:00,
1/5/2006 2:00,
1/5/2006 3:00,
1/5/2006 4:00,
1/5/2006 5:00,
1/5/2006 6:00,
1/5/2006 7:00,
1/5/2006 8:00,
1/5/2006 9:00,
1/5/2006 10:00,
1/5/2006 11:00,
1/5/2006 12:00,
1/5/2006 13:00,
1/5/2006 14:00,
1/5/2006 15:00,
1/5/2006 16:00,
1/5/2006 17:00,
1/5/2006 18:00,
1/5/2006 19:00,
1/5/2006 20:00,
1/5/2006 21:00,
1/5/2006 22:00,
1/5/2006 23:00,
1/6/2006 0:00,
1/6/2006 1:00,
1/6/2006 2:00,
1/6/2006 3:00,
1/6/2006 4:00,
1/6/2006 5:00,
1/6/2006 6:00,
1/6/2006 7:00,
1/6/2006 8:00,
1/6/2006 9:00,
1/6/2006 10:00,
1/6/2006 11:00,
1/6/2006 12:00,
1/6/2006 13:00,
1/6/2006 14:00,
1/6/2006 15:00,
1/6/2006 16:00,
1/6/2006 17:00,
1/6/2006 18:00,
1/6/2006 19:00,
1/6/2006 20:00,
1/6/2006 21:00,
1/6/2006 22:00,
1/6/2006 23:00,
1/7/2006 0:00,
1/7/2006 1:00,
1/7/2006 2:00,
1/7/2006 3:00,
1/7/2006 4:00,
1/7/2006 5:00,
1/7/2006 6:00,
1/7/2006 7:00,
1/7/2006 8:00,
1/7/2006 9:00,
1/7/2006 10:00,
1/7/2006 11:00,
1/7/2006 12:00,
1/7/2006 13:00,
1/7/2006 14:00,
1/7/2006 15:00,
1/7/2006 16:00,
1/7/2006 17:00,
1/7/2006 18:00,
1/7/2006 19:00,
1/7/2006 20:00,
1/7/2006 21:00,
1/7/2006 22:00,
1/7/2006 23:00,
1/8/2006 0:00,
1/8/2006 1:00,
1/8/2006 2:00,
1/8/2006 3:00,
1/8/2006 4:00,
1/8/2006 5:00,
1/8/2006 6:00,
1/8/2006 7:00,
1/8/2006 8:00,
1/8/2006 9:00,
1/8/2006 10:00,
1/8/2006 11:00,
1/8/2006 12:00,
1/8/2006 13:00,
1/8/2006 14:00,
1/8/2006 15:00,
1/8/2006 16:00,
1/8/2006 17:00,
1/8/2006 18:00,
1/8/2006 19:00,
1/8/2006 20:00,
1/8/2006 21:00,
1/8/2006 22:00,
1/8/2006 23:00,
1/9/2006 0:00,
1/9/2006 1:00,
1/9/2006 2:00,
1/9/2006 3:00,
1/9/2006 4:00,
1/9/2006 5:00,
1/9/2006 6:00,
1/9/2006 7:00,
1/9/2006 8:00,
1/9/2006 9:00,
1/9/2006 10:00,
1/9/2006 11:00,
1/9/2006 12:00,
1/9/2006 13:00,
1/9/2006 14:00,
1/9/2006 15:00,
1/9/2006 16:00,
1/9/2006 17:00,
1/9/2006 18:00,
1/9/2006 19:00,
1/9/2006 20:00,
1/9/2006 21:00,
1/9/2006 22:00,
1/9/2006 23:00,
1/10/2006 0:00,
1/10/2006 1:00,
1/10/2006 2:00,
1/10/2006 3:00,
1/10/2006 4:00,
1/10/2006 5:00,
1/10/2006 6:00,
1/10/2006 7:00,
1/10/2006 8:00,
1/10/2006 9:00,
1/10/2006 10:00,
1/10/2006 11:00,
1/10/2006 12:00,
1/10/2006 13:00,
1/10/2006 14:00,
1/10/2006 15:00,
1/10/2006 16:00,
1/10/2006 17:00,
1/10/2006 18:00,
1/10/2006 19:00,
1/10/2006 20:00,
1/10/2006 21:00,
1/10/2006 22:00,
1/10/2006 23:00,
1/11/2006 0:00,
1/11/2006 1:00,
1/11/2006 2:00,
1/11/2006 3:00,
1/11/2006 4:00,
1/11/2006 5:00,
1/11/2006 6:00,
1/11/2006 7:00,
1/11/2006 8:00,
1/11/2006 9:00,
1/11/2006 10:00,
1/11/2006 11:00,
1/11/2006 12:00,
1/11/2006 13:00,
1/11/2006 14:00,
1/11/2006 15:00,
1/11/2006 16:00,
1/11/2006 17:00,
1/11/2006 18:00,
1/11/2006 19:00,
1/11/2006 20:00,
1/11/2006 21:00,
1/11/2006 22:00,
1/11/2006 23:00,
1/12/2006 0:00,
1/12/2006 1:00,
1/12/2006 2:00,
1/12/2006 3:00,
1/12/2006 4:00,
1/12/2006 5:00,
1/12/2006 6:00,
1/12/2006 7:00,
1/12/2006 8:00,
1/12/2006 9:00,
1/12/2006 10:00,
1/12/2006 11:00,
1/12/2006 12:00,
1/12/2006 13:00,
1/12/2006 14:00,
1/12/2006 15:00,
1/12/2006 16:00,
1/12/2006 17:00,
1/12/2006 18:00,
1/12/2006 19:00,
1/12/2006 20:00,
1/12/2006 21:00,
1/12/2006 22:00,
1/12/2006 23:00,
1/13/2006 0:00,
1/13/2006 1:00,
1/13/2006 2:00,
1/13/2006 3:00,
1/13/2006 4:00,
1/13/2006 5:00,
1/13/2006 6:00,
1/13/2006 7:00,
1/13/2006 8:00,
1/13/2006 9:00,
1/13/2006 10:00,
1/13/2006 11:00,
1/13/2006 12:00,
1/13/2006 13:00,
1/13/2006 14:00,
1/13/2006 15:00,
1/13/2006 16:00,
1/13/2006 17:00,
1/13/2006 18:00,
1/13/2006 19:00,
1/13/2006 20:00,
1/13/2006 21:00,
1/13/2006 22:00,
1/13/2006 23:00,
1/14/2006 0:00,
1/14/2006 1:00,
1/14/2006 2:00,
1/14/2006 3:00,
1/14/2006 4:00,
1/14/2006 5:00,
1/14/2006 6:00,
1/14/2006 7:00,
1/14/2006 8:00,
1/14/2006 9:00,
1/14/2006 10:00,
1/14/2006 11:00,
1/14/2006 12:00,
1/14/2006 13:00,
1/14/2006 14:00,
1/14/2006 15:00,
1/14/2006 16:00,
1/14/2006 17:00,
1/14/2006 18:00,
1/14/2006 19:00,
1/14/2006 20:00,
1/14/2006 21:00,
1/14/2006 22:00,
1/14/2006 23:00,
1/15/2006 0:00,
1/15/2006 1:00,
1/15/2006 2:00,
1/15/2006 3:00,
1/15/2006 4:00,
1/15/2006 5:00,
1/15/2006 6:00,
1/15/2006 7:00,
1/15/2006 8:00,
1/15/2006 9:00,
1/15/2006 10:00,
1/15/2006 11:00,
1/15/2006 12:00,
1/15/2006 13:00,
1/15/2006 14:00,
1/15/2006 15:00,
1/15/2006 16:00,
1/15/2006 17:00,
1/15/2006 18:00,
1/15/2006 19:00,
1/15/2006 20:00,
1/15/2006 21:00,
1/15/2006 22:00,
1/15/2006 23:00,
1/16/2006 0:00,
1/16/2006 1:00,
1/16/2006 2:00,
1/16/2006 3:00,
1/16/2006 4:00,
1/16/2006 5:00,
1/16/2006 6:00,
1/16/2006 7:00,
1/16/2006 8:00,
1/16/2006 9:00,
1/16/2006 10:00,
1/16/2006 11:00,
1/16/2006 12:00,
1/16/2006 13:00,
1/16/2006 14:00,
1/16/2006 15:00,
1/16/2006 16:00,
1/16/2006 17:00,
1/16/2006 18:00,
1/16/2006 19:00,
1/16/2006 20:00,
1/16/2006 21:00,
1/16/2006 22:00,
1/16/2006 23:00,
1/17/2006 0:00,
1/17/2006 1:00,
1/17/2006 2:00,
1/17/2006 3:00,
1/17/2006 4:00,
1/17/2006 5:00,
1/17/2006 6:00,
1/17/2006 7:00,
1/17/2006 8:00,
1/17/2006 9:00,
1/17/2006 10:00,
1/17/2006 11:00,
1/17/2006 12:00,
1/17/2006 13:00,
1/17/2006 14:00,
1/17/2006 15:00,
1/17/2006 16:00,
1/17/2006 17:00,
1/17/2006 18:00,
1/17/2006 19:00,
1/17/2006 20:00,
1/17/2006 21:00,
1/17/2006 22:00,
1/17/2006 23:00,
1/18/2006 0:00,
1/18/2006 1:00,
1/18/2006 2:00,
1/18/2006 3:00,
1/18/2006 4:00,
1/18/2006 5:00,
1/18/2006 6:00,
1/18/2006 7:00,
1/18/2006 8:00,
1/18/2006 9:00,
1/18/2006 10:00,
1/18/2006 11:00,
1/18/2006 12:00,
1/18/2006 13:00,
1/18/2006 14:00,
1/18/2006 15:00,
1/18/2006 16:00,
1/18/2006 17:00,
1/18/2006 18:00,
1/18/2006 19:00,
1/18/2006 20:00,
1/18/2006 21:00,
1/18/2006 22:00,
1/18/2006 23:00,
1/19/2006 0:00,
1/19/2006 1:00,
1/19/2006 2:00,
1/19/2006 3:00,
1/19/2006 4:00,
1/19/2006 5:00,
1/19/2006 6:00,
1/19/2006 7:00,
1/19/2006 8:00,
1/19/2006 9:00,
1/19/2006 10:00,
1/19/2006 11:00,
1/19/2006 12:00,
1/19/2006 13:00,
1/19/2006 14:00,
1/19/2006 15:00,
1/19/2006 16:00,
1/19/2006 17:00,
1/19/2006 18:00,
1/19/2006 19:00,
1/19/2006 20:00,
1/19/2006 21:00,
1/19/2006 22:00,
1/19/2006 23:00,
1/20/2006 0:00,
1/20/2006 1:00,
1/20/2006 2:00,
1/20/2006 3:00,
1/20/2006 4:00,
1/20/2006 5:00,
1/20/2006 6:00,
1/20/2006 7:00,
1/20/2006 8:00,
1/20/2006 9:00,
1/20/2006 10:00,
1/20/2006 11:00,
1/20/2006 12:00,
1/20/2006 13:00,
1/20/2006 14:00,
1/20/2006 15:00,
1/20/2006 16:00,
1/20/2006 17:00,
1/20/2006 18:00,
1/20/2006 19:00,
1/20/2006 20:00,
1/20/2006 21:00,
1/20/2006 22:00,
1/20/2006 23:00,
1/21/2006 0:00,
1/21/2006 1:00,
1/21/2006 2:00,
1/21/2006 3:00,
1/21/2006 4:00,
1/21/2006 5:00,
1/21/2006 6:00,
1/21/2006 7:00,
1/21/2006 8:00,
1/21/2006 9:00,
1/21/2006 10:00,
1/21/2006 11:00,
1/21/2006 12:00,
1/21/2006 13:00,
1/21/2006 14:00,
1/21/2006 15:00,
1/21/2006 16:00,
1/21/2006 17:00,
1/21/2006 18:00,
1/21/2006 19:00,
1/21/2006 20:00,
1/21/2006 21:00,
1/21/2006 22:00,
1/21/2006 23:00,
1/22/2006 0:00,
1/22/2006 1:00,
1/22/2006 2:00,
1/22/2006 3:00,
1/22/2006 4:00,
1/22/2006 5:00,
1/22/2006 6:00,
1/22/2006 7:00,
1/22/2006 8:00,
1/22/2006 9:00,
1/22/2006 10:00,
1/22/2006 11:00,
1/22/2006 12:00,
1/22/2006 13:00,
1/22/2006 14:00,
1/22/2006 15:00,
1/22/2006 16:00,
1/22/2006 17:00,
1/22/2006 18:00,
1/22/2006 19:00,
1/22/2006 20:00,
1/22/2006 21:00,
1/22/2006 22:00,
1/22/2006 23:00,
1/23/2006 0:00,
1/23/2006 1:00,
1/23/2006 2:00,
1/23/2006 3:00,
1/23/2006 4:00,
1/23/2006 5:00,
1/23/2006 6:00,
1/23/2006 7:00,
1/23/2006 8:00,
1/23/2006 9:00,
1/23/2006 10:00,
1/23/2006 11:00,
1/23/2006 12:00,
1/23/2006 13:00,
1/23/2006 14:00,
1/23/2006 15:00,
1/23/2006 16:00,
1/23/2006 17:00,
1/23/2006 18:00,
1/23/2006 19:00,
1/23/2006 20:00,
1/23/2006 21:00,
1/23/2006 22:00,
1/23/2006 23:00,
1/24/2006 0:00,
1/24/2006 1:00,
1/24/2006 2:00,
1/24/2006 3:00,
1/24/2006 4:00,
1/24/2006 5:00,
1/24/2006 6:00,
1/24/2006 7:00,
1/24/2006 8:00,
1/24/2006 9:00,
1/24/2006 10:00,
1/24/2006 11:00,
1/24/2006 12:00,
1/24/2006 13:00,
1/24/2006 14:00,
1/24/2006 15:00,
1/24/2006 16:00,
1/24/2006 17:00,
1/24/2006 18:00,
1/24/2006 19:00,
1/24/2006 20:00,
1/24/2006 21:00,
1/24/2006 22:00,
1/24/2006 23:00,
1/25/2006 0:00,
1/25/2006 1:00,
1/25/2006 2:00,
1/25/2006 3:00,
1/25/2006 4:00,
1/25/2006 5:00,
1/25/2006 6:00,
1/25/2006 7:00,
1/25/2006 8:00,
1/25/2006 9:00,
1/25/2006 10:00,
1/25/2006 11:00,
1/25/2006 12:00,
1/25/2006 13:00,
1/25/2006 14:00,
1/25/2006 15:00,
1/25/2006 16:00,
1/25/2006 17:00,
1/25/2006 18:00,
1/25/2006 19:00,
1/25/2006 20:00,
1/25/2006 21:00,
1/25/2006 22:00,
1/25/2006 23:00,
1/26/2006 0:00,
1/26/2006 1:00,
1/26/2006 2:00,
1/26/2006 3:00,
1/26/2006 4:00,
1/26/2006 5:00,
1/26/2006 6:00,
1/26/2006 7:00,
1/26/2006 8:00,
1/26/2006 9:00,
1/26/2006 10:00,
1/26/2006 11:00,
1/26/2006 12:00,
1/26/2006 13:00,
1/26/2006 14:00,
1/26/2006 15:00,
1/26/2006 16:00,
1/26/2006 17:00,
1/26/2006 18:00,
1/26/2006 19:00,
1/26/2006 20:00,
1/26/2006 21:00,
1/26/2006 22:00,
1/26/2006 23:00,
1/27/2006 0:00,
1/27/2006 1:00,
1/27/2006 2:00,
1/27/2006 3:00,
1/27/2006 4:00,
1/27/2006 5:00,
1/27/2006 6:00,
1/27/2006 7:00,
1/27/2006 8:00,
1/27/2006 9:00,
1/27/2006 10:00,
1/27/2006 11:00,
1/27/2006 12:00,
1/27/2006 13:00,
1/27/2006 14:00,
1/27/2006 15:00,
1/27/2006 16:00,
1/27/2006 17:00,
1/27/2006 18:00,
1/27/2006 19:00,
1/27/2006 20:00,
1/27/2006 21:00,
1/27/2006 22:00,
1/27/2006 23:00,
1/28/2006 0:00,
1/28/2006 1:00,
1/28/2006 2:00,
1/28/2006 3:00,
1/28/2006 4:00,
1/28/2006 5:00,
1/28/2006 6:00,
1/28/2006 7:00,
1/28/2006 8:00,
1/28/2006 9:00,
1/28/2006 10:00,
1/28/2006 11:00,
1/28/2006 12:00,
1/28/2006 13:00,
1/28/2006 14:00,
1/28/2006 15:00,
1/28/2006 16:00,
1/28/2006 17:00,
1/28/2006 18:00,
1/28/2006 19:00,
1/28/2006 20:00,
1/28/2006 21:00,
1/28/2006 22:00,
1/28/2006 23:00,
1/29/2006 0:00,
1/29/2006 1:00,
1/29/2006 2:00,
1/29/2006 3:00,
1/29/2006 4:00,
1/29/2006 5:00,
1/29/2006 6:00,
1/29/2006 7:00,
1/29/2006 8:00,
1/29/2006 9:00,
1/29/2006 10:00,
1/29/2006 11:00,
1/29/2006 12:00,
1/29/2006 13:00,
1/29/2006 14:00,
1/29/2006 15:00,
1/29/2006 16:00,
1/29/2006 17:00,
1/29/2006 18:00,
1/29/2006 19:00,
1/29/2006 20:00,
1/29/2006 21:00,
1/29/2006 22:00,
1/29/2006 23:00,
1/30/2006 0:00,
1/30/2006 1:00,
1/30/2006 2:00,
1/30/2006 3:00,
1/30/2006 4:00,
1/30/2006 5:00,
1/30/2006 6:00,
1/30/2006 7:00,
1/30/2006 8:00,
1/30/2006 9:00,
1/30/2006 10:00,
1/30/2006 11:00,
1/30/2006 12:00,
1/30/2006 13:00,
1/30/2006 14:00,
1/30/2006 15:00,
1/30/2006 16:00,
1/30/2006 17:00,
1/30/2006 18:00,
1/30/2006 19:00,
1/30/2006 20:00,
1/30/2006 21:00,
1/30/2006 22:00,
1/30/2006 23:00,
1/31/2006 0:00,
1/31/2006 1:00,
1/31/2006 2:00,
1/31/2006 3:00,
1/31/2006 4:00,
1/31/2006 5:00,
1/31/2006 6:00,
1/31/2006 7:00,
1/31/2006 8:00,
1/31/2006 9:00,
1/31/2006 10:00,
1/31/2006 11:00,
1/31/2006 12:00,
1/31/2006 13:00,
1/31/2006 14:00,
1/31/2006 15:00,
1/31/2006 16:00,
1/31/2006 17:00,
1/31/2006 18:00,
1/31/2006 19:00,
1/31/2006 20:00,
1/31/2006 21:00,
1/31/2006 22:00,
1/31/2006 23:00,
2/1/2006 0:00,
2/1/2006 1:00,
2/1/2006 2:00,
2/1/2006 3:00,
2/1/2006 4:00,
2/1/2006 5:00,
2/1/2006 6:00,
2/1/2006 7:00,
2/1/2006 8:00,
2/1/2006 9:00,
2/1/2006 10:00,
2/1/2006 11:00,
2/1/2006 12:00,
2/1/2006 13:00,
2/1/2006 14:00,
2/1/2006 15:00,
2/1/2006 16:00,
2/1/2006 17:00,
2/1/2006 18:00,
2/1/2006 19:00,
2/1/2006 20:00,
2/1/2006 21:00,
2/1/2006 22:00,
2/1/2006 23:00,
2/2/2006 0:00,
2/2/2006 1:00,
2/2/2006 2:00,
2/2/2006 3:00,
2/2/2006 4:00,
2/2/2006 5:00,
2/2/2006 6:00,
2/2/2006 7:00,
2/2/2006 8:00,
2/2/2006 9:00,
2/2/2006 10:00,
2/2/2006 11:00,
2/2/2006 12:00,
2/2/2006 13:00,
2/2/2006 14:00,
2/2/2006 15:00,
2/2/2006 16:00,
2/2/2006 17:00,
2/2/2006 18:00,
2/2/2006 19:00,
2/2/2006 20:00,
2/2/2006 21:00,
2/2/2006 22:00,
2/2/2006 23:00,
2/3/2006 0:00,
2/3/2006 1:00,
2/3/2006 2:00,
2/3/2006 3:00,
2/3/2006 4:00,
2/3/2006 5:00,
2/3/2006 6:00,
2/3/2006 7:00,
2/3/2006 8:00,
2/3/2006 9:00,
2/3/2006 10:00,
2/3/2006 11:00,
2/3/2006 12:00,
2/3/2006 13:00,
2/3/2006 14:00,
2/3/2006 15:00,
2/3/2006 16:00,
2/3/2006 17:00,
2/3/2006 18:00,
2/3/2006 19:00,
2/3/2006 20:00,
2/3/2006 21:00,
2/3/2006 22:00,
2/3/2006 23:00,
2/4/2006 0:00,
2/4/2006 1:00,
2/4/2006 2:00,
2/4/2006 3:00,
2/4/2006 4:00,
2/4/2006 5:00,
2/4/2006 6:00,
2/4/2006 7:00,
2/4/2006 8:00,
2/4/2006 9:00,
2/4/2006 10:00,
2/4/2006 11:00,
2/4/2006 12:00,
2/4/2006 13:00,
2/4/2006 14:00,
2/4/2006 15:00,
2/4/2006 16:00,
2/4/2006 17:00,
2/4/2006 18:00,
2/4/2006 19:00,
2/4/2006 20:00,
2/4/2006 21:00,
2/4/2006 22:00,
2/4/2006 23:00,
2/5/2006 0:00,
2/5/2006 1:00,
2/5/2006 2:00,
2/5/2006 3:00,
2/5/2006 4:00,
2/5/2006 5:00,
2/5/2006 6:00,
2/5/2006 7:00,
2/5/2006 8:00,
2/5/2006 9:00,
2/5/2006 10:00,
2/5/2006 11:00,
2/5/2006 12:00,
2/5/2006 13:00,
2/5/2006 14:00,
2/5/2006 15:00,
2/5/2006 16:00,
2/5/2006 17:00,
2/5/2006 18:00,
2/5/2006 19:00,
2/5/2006 20:00,
2/5/2006 21:00,
2/5/2006 22:00,
2/5/2006 23:00,
2/6/2006 0:00,
2/6/2006 1:00,
2/6/2006 2:00,
2/6/2006 3:00,
2/6/2006 4:00,
2/6/2006 5:00,
2/6/2006 6:00,
2/6/2006 7:00,
2/6/2006 8:00,
2/6/2006 9:00,
2/6/2006 10:00,
2/6/2006 11:00,
2/6/2006 12:00,
2/6/2006 13:00,
2/6/2006 14:00,
2/6/2006 15:00,
2/6/2006 16:00,
2/6/2006 17:00,
2/6/2006 18:00,
2/6/2006 19:00,
2/6/2006 20:00,
2/6/2006 21:00,
2/6/2006 22:00,
2/6/2006 23:00,
2/7/2006 0:00,
2/7/2006 1:00,
2/7/2006 2:00,
2/7/2006 3:00,
2/7/2006 4:00,
2/7/2006 5:00,
2/7/2006 6:00,
2/7/2006 7:00,
2/7/2006 8:00,
2/7/2006 9:00,
2/7/2006 10:00,
2/7/2006 11:00,
2/7/2006 12:00,
2/7/2006 13:00,
2/7/2006 14:00,
2/7/2006 15:00,
2/7/2006 16:00,
2/7/2006 17:00,
2/7/2006 18:00,
2/7/2006 19:00,
2/7/2006 20:00,
2/7/2006 21:00,
2/7/2006 22:00,
2/7/2006 23:00,
2/8/2006 0:00,
2/8/2006 1:00,
2/8/2006 2:00,
2/8/2006 3:00,
2/8/2006 4:00,
2/8/2006 5:00,
2/8/2006 6:00,
2/8/2006 7:00,
2/8/2006 8:00,
2/8/2006 9:00,
2/8/2006 10:00,
2/8/2006 11:00,
2/8/2006 12:00,
2/8/2006 13:00,
2/8/2006 14:00,
2/8/2006 15:00,
2/8/2006 16:00,
2/8/2006 17:00,
2/8/2006 18:00,
2/8/2006 19:00,
2/8/2006 20:00,
2/8/2006 21:00,
2/8/2006 22:00,
2/8/2006 23:00,
2/9/2006 0:00,
2/9/2006 1:00,
2/9/2006 2:00,
2/9/2006 3:00,
2/9/2006 4:00,
2/9/2006 5:00,
2/9/2006 6:00,
2/9/2006 7:00,
2/9/2006 8:00,
2/9/2006 9:00,
2/9/2006 10:00,
2/9/2006 11:00,
2/9/2006 12:00,
2/9/2006 13:00,
2/9/2006 14:00,
2/9/2006 15:00,
2/9/2006 16:00,
2/9/2006 17:00,
2/9/2006 18:00,
2/9/2006 19:00,
2/9/2006 20:00,
2/9/2006 21:00,
2/9/2006 22:00,
2/9/2006 23:00,
2/10/2006 0:00,
2/10/2006 1:00,
2/10/2006 2:00,
2/10/2006 3:00,
2/10/2006 4:00,
2/10/2006 5:00,
2/10/2006 6:00,
2/10/2006 7:00,
2/10/2006 8:00,
2/10/2006 9:00,
2/10/2006 10:00,
2/10/2006 11:00,
2/10/2006 12:00,
2/10/2006 13:00,
2/10/2006 14:00,
2/10/2006 15:00,
2/10/2006 16:00,
2/10/2006 17:00,
2/10/2006 18:00,
2/10/2006 19:00,
2/10/2006 20:00,
2/10/2006 21:00,
2/10/2006 22:00,
2/10/2006 23:00,
2/11/2006 0:00,
2/11/2006 1:00,
2/11/2006 2:00,
2/11/2006 3:00,
2/11/2006 4:00,
2/11/2006 5:00,
2/11/2006 6:00,
2/11/2006 7:00,
2/11/2006 8:00,
2/11/2006 9:00,
2/11/2006 10:00,
2/11/2006 11:00,
2/11/2006 12:00,
2/11/2006 13:00,
2/11/2006 14:00,
2/11/2006 15:00,
2/11/2006 16:00,
2/11/2006 17:00,
2/11/2006 18:00,
2/11/2006 19:00,
2/11/2006 20:00,
2/11/2006 21:00,
2/11/2006 22:00,
2/11/2006 23:00,
2/12/2006 0:00,
2/12/2006 1:00,
2/12/2006 2:00,
2/12/2006 3:00,
2/12/2006 4:00,
2/12/2006 5:00,
2/12/2006 6:00,
2/12/2006 7:00,
2/12/2006 8:00,
2/12/2006 9:00,
2/12/2006 10:00,
2/12/2006 11:00,
2/12/2006 12:00,
2/12/2006 13:00,
2/12/2006 14:00,
2/12/2006 15:00,
2/12/2006 16:00,
2/12/2006 17:00,
2/12/2006 18:00,
2/12/2006 19:00,
2/12/2006 20:00,
2/12/2006 21:00,
2/12/2006 22:00,
2/12/2006 23:00,
2/13/2006 0:00,
2/13/2006 1:00,
2/13/2006 2:00,
2/13/2006 3:00,
2/13/2006 4:00,
2/13/2006 5:00,
2/13/2006 6:00,
2/13/2006 7:00,
2/13/2006 8:00,
2/13/2006 9:00,
2/13/2006 10:00,
2/13/2006 11:00,
2/13/2006 12:00,
2/13/2006 13:00,
2/13/2006 14:00,
2/13/2006 15:00,
2/13/2006 16:00,
2/13/2006 17:00,
2/13/2006 18:00,
2/13/2006 19:00,
2/13/2006 20:00,
2/13/2006 21:00,
2/13/2006 22:00,
2/13/2006 23:00,
2/14/2006 0:00,
2/14/2006 1:00,
2/14/2006 2:00,
2/14/2006 3:00,
2/14/2006 4:00,
2/14/2006 5:00,
2/14/2006 6:00,
2/14/2006 7:00,
2/14/2006 8:00,
2/14/2006 9:00,
2/14/2006 10:00,
2/14/2006 11:00,
2/14/2006 12:00,
2/14/2006 13:00,
2/14/2006 14:00,
2/14/2006 15:00,
2/14/2006 16:00,
2/14/2006 17:00,
2/14/2006 18:00,
2/14/2006 19:00,
2/14/2006 20:00,
2/14/2006 21:00,
2/14/2006 22:00,
2/14/2006 23:00,
2/15/2006 0:00,
2/15/2006 1:00,
2/15/2006 2:00,
2/15/2006 3:00,
2/15/2006 4:00,
2/15/2006 5:00,
2/15/2006 6:00,
2/15/2006 7:00,
2/15/2006 8:00,
2/15/2006 9:00,
2/15/2006 10:00,
2/15/2006 11:00,
2/15/2006 12:00,
2/15/2006 13:00,
2/15/2006 14:00,
2/15/2006 15:00,
2/15/2006 16:00,
2/15/2006 17:00,
2/15/2006 18:00,
2/15/2006 19:00,
2/15/2006 20:00,
2/15/2006 21:00,
2/15/2006 22:00,
2/15/2006 23:00,
2/16/2006 0:00,
2/16/2006 1:00,
2/16/2006 2:00,
2/16/2006 3:00,
2/16/2006 4:00,
2/16/2006 5:00,
2/16/2006 6:00,
2/16/2006 7:00,
