Time,P(mm/h),PET(mm/h)
2016-10-01 00:00:00,0.0,0.0
2016-10-01 01:00:00,0.0,0.0
2016-10-01 02:00:00,0.0,0.0
2016-10-01 03:00:00,0.0,0.0
2016-10-01 04:00:00,0.0,0.0
2016-10-01 05:00:00,0.0,0.0
2016-10-01 06:00:00,0.0,0.005441
2016-10-01 07:00:00,0.0,0.108887
2016-10-01 08:00:00,0.0,0.297677
2016-10-01 09:00:00,0.0,0.531197
2016-10-01 10:00:00,0.0,0.648795
2016-10-01 11:00:00,0.0,0.846392
2016-10-01 12:00:00,0.0,0.848239
2016-10-01 13:00:00,0.0,0.8925
2016-10-01 14:00:00,0.0,0.822813
2016-10-01 15:00:00,0.0,0.601943
2016-10-01 16:00:00,0.0,0.375936
2016-10-01 17:00:00,0.0,0.144484
2016-10-01 18:00:00,0.0,0.005328
2016-10-01 19:00:00,0.0,0.0
2016-10-01 20:00:00,0.0,0.0
2016-10-01 21:00:00,0.0,0.0
2016-10-01 22:00:00,0.0,0.0
2016-10-01 23:00:00,0.0,0.0
2016-10-02 00:00:00,0.0,0.0
2016-10-02 01:00:00,0.0,0.0
2016-10-02 02:00:00,0.0,0.0
2016-10-02 03:00:00,0.0,0.0
2016-10-02 04:00:00,0.0,0.0
2016-10-02 05:00:00,0.0,0.0
2016-10-02 06:00:00,0.0,0.006291
2016-10-02 07:00:00,0.0,0.108174
2016-10-02 08:00:00,0.0,0.279524
2016-10-02 09:00:00,0.0,0.48589
2016-10-02 10:00:00,0.0,0.672682
2016-10-02 11:00:00,0.0,0.809962
2016-10-02 12:00:00,0.0,0.883375
2016-10-02 13:00:00,0.0,0.857296
2016-10-02 14:00:00,0.0,0.766585
2016-10-02 15:00:00,0.0,0.595572
2016-10-02 16:00:00,0.0,0.374685
2016-10-02 17:00:00,0.0,0.153049
2016-10-02 18:00:00,0.0,0.003527
2016-10-02 19:00:00,0.0,0.0
2016-10-02 20:00:00,0.0,0.0
2016-10-02 21:00:00,0.0,0.0
2016-10-02 22:00:00,0.0,0.0
2016-10-02 23:00:00,0.0,0.0
2016-10-03 00:00:00,0.0,0.0
2016-10-03 01:00:00,0.0,0.0
2016-10-03 02:00:00,0.0,0.0
2016-10-03 03:00:00,0.0,0.0
2016-10-03 04:00:00,0.0,0.0
2016-10-03 05:00:00,0.0,0.0
2016-10-03 06:00:00,0.0,0.009405
2016-10-03 07:00:00,1.27,0.03248
2016-10-03 08:00:00,0.0,0.07165
2016-10-03 09:00:00,0.0,0.196288
2016-10-03 10:00:00,0.0,0.503587
2016-10-03 11:00:00,0.0,0.445859
