Month,Ensemble ET,Acre-feet,Precip (gridMET),Acre-feet,eeMetric ET,Acre-feet,SSEBop ET,Acre-feet,SIMS ET,Acre-feet,DisALEXI ET,Acre-feet,PT-JPL ET,Acre-feet,geeSEBAL ET,Acre-feet,Polygon Area,ET Units,Shape,URL,Source,Method
1/1/2018,0.006,1.099,0,0,0.003,0.564,0.016,3.014,0.002,0.423,0.007,1.41,0.003,0.616,0.01,1.804,2262.446 acres,in,"-98.18601608276369,34.83818163686145,-98.18601608276369,34.8621301806213,-98.14842224121095,34.8621301806213,-98.14842224121095,34.83818163686145",https://explore.etdata.org/custom#13/34.8563/-98.1524,OpenET,https://openetdata.org/#tool
1/2/2018,0.006,1.151,0,0,0.005,0.965,0.013,2.501,0.003,0.579,0.007,1.321,0.004,0.846,0.009,1.692,,,,,,
1/3/2018,0.019,3.63,0,0,0.02,3.86,0.034,6.443,0.011,2.115,0.02,3.815,0.016,3.095,0.026,4.906,,,,,,
1/4/2018,0.021,3.927,0,0,0.026,4.817,0.031,5.834,0.013,2.524,0.02,3.86,0.02,3.689,0.026,4.966,,,,,,
1/5/2018,0.027,5.047,0,0,0.036,6.829,0.034,6.376,0.018,3.474,0.025,4.684,0.027,5.07,0.032,6.042,,,,,,
1/6/2018,0.038,7.096,0,0,0.055,10.303,0.041,7.72,0.027,5.144,0.033,6.287,0.04,7.497,0.043,8.128,,,,,,
1/7/2018,0.018,3.303,0.087,16.33,0.027,5.062,0.017,3.125,0.013,2.487,0.015,2.813,0.019,3.63,0.019,3.637,,,,,,
1/8/2018,0.036,6.836,0,0,0.058,10.926,0.03,5.671,0.028,5.315,0.03,5.626,0.041,7.749,0.039,7.289,,,,,,
1/9/2018,0.057,10.815,0,0,0.091,17.117,0.049,9.323,0.045,8.492,0.055,10.28,0.063,11.795,0.06,11.305,,,,,,
1/10/2018,0.046,8.588,0.026,4.914,0.071,13.443,0.041,7.734,0.036,6.829,0.05,9.457,0.047,8.944,0.046,8.766,,,,,,
1/11/2018,0.012,2.197,0,0,0.018,3.4,0.011,2.086,0.009,1.774,0.015,2.813,0.011,2.16,0.012,2.182,,,,,,
1/12/2018,0.021,3.986,0,0,0.032,6.057,0.021,3.993,0.017,3.266,0.032,5.96,0.019,3.63,0.02,3.815,,,,,,
1/13/2018,0.02,3.83,0,0,0.03,5.701,0.022,4.097,0.017,3.207,0.036,6.74,0.017,3.155,0.019,3.496,,,,,,
1/14/2018,0.028,5.196,0,0,0.04,7.534,0.032,6.012,0.024,4.461,0.058,10.882,0.02,3.711,0.024,4.468,,,,,,
1/15/2018,0.016,2.947,0,0,0.022,4.127,0.02,3.741,0.014,2.613,0.04,7.452,0.009,1.685,0.012,2.323,,,,,,
1/16/2018,0.009,1.774,0,0,0.013,2.368,0.013,2.516,0.009,1.64,0.029,5.53,0.004,0.668,0.007,1.232,,,,,,
1/17/2018,0.012,2.294,0,0,0.017,3.251,0.017,3.199,0.011,2.108,0.034,6.361,0.005,1.002,0.008,1.485,,,,,,
1/18/2018,0.025,4.647,0,0,0.037,6.925,0.034,6.391,0.023,4.261,0.061,11.446,0.012,2.279,0.015,2.806,,,,,,
1/19/2018,0.033,6.257,0,0,0.052,9.739,0.045,8.477,0.03,5.708,0.072,13.643,0.018,3.37,0.019,3.541,,,,,,
1/20/2018,0.047,8.811,0,0,0.076,14.259,0.063,11.787,0.043,8.017,0.09,16.991,0.027,5.129,0.025,4.676,,,,,,
1/21/2018,0.044,8.284,0,0,0.074,13.858,0.058,10.941,0.04,7.512,0.075,14.051,0.027,5.151,0.022,4.134,,,,,,
1/22/2018,0.037,6.94,0,0,0.063,11.965,0.048,9.071,0.033,6.272,0.055,10.303,0.024,4.572,0.017,3.259,,,,,,
1/23/2018,0.027,5.137,0,0,0.048,9.093,0.035,6.643,0.025,4.632,0.035,6.621,0.019,3.555,0.012,2.271,,,,,,
1/24/2018,0.037,7.044,0,0,0.068,12.775,0.048,9.019,0.034,6.332,0.041,7.824,0.027,5.092,0.016,2.947,,,,,,
1/25/2018,0.055,10.325,0.014,2.687,0.098,18.468,0.068,12.886,0.048,9.123,0.061,11.476,0.042,7.898,0.024,4.513,,,,,,
1/26/2018,0.04,7.46,0,0,0.07,13.168,0.048,9.078,0.034,6.48,0.044,8.299,0.032,6.012,0.018,3.4,,,,,,
1/27/2018,0.032,6.042,0,0,0.056,10.518,0.038,7.163,0.027,5.151,0.036,6.718,0.027,5.114,0.015,2.865,,,,,,
