"Texture	        theta_r	theta_e	alpha (cm^-1)	n	m	Ks (cm/h)"
"Clay"	                0.1	0.46	1.00E-02	1.25	0.2	0.612
"Clay-loam"	        0.08	0.44	2.00E-02	1.42	0.29	0.3348
"Loam"	                0.06	0.4	1.00E-02	1.47	0.32	0.504
"Loamy-sand"	        0.05	0.39	3.00E-02	1.75	0.43	4.32
"Sand"	                0.05	0.38	4.00E-02	3.18	0.69	26.64
"Sandy-clay"	        0.12	0.39	3.00E-02	1.21	0.17	0.468
"Sandy-clay loam"	0.06	0.38	2.00E-02	1.33	0.25	0.54
"Sandy-loam"	        0.04	0.39	3.00E-02	1.45	0.31	1.584
"Silt"	                0.05	0.49	1.00E-02	1.68	0.4	1.836
"Silty-clay"	        0.11	0.48	2.00E-02	1.32	0.24	0.432
"Silty-clay loam"	0.09	0.48	1.00E-02	1.52	0.34	0.468
"Silt-loam"	        0.07	0.44	1.00E-02	1.66	0.4	0.756
"S3-1"                0.057	0.41	0.124		2.28	0.5614035	14.59
"S3-2"    	0.078 	0.43 	0.036 	1.56 	0.3589743 	1.04
"S3-3" 	0.067 	0.45 	0.020 	1.41 	0.290780 	0.45
