system:index,0,1,2,3,4,5,6,7,8,9
clay_0_5,21.940117,20.240488,21.49317,17.423529,18.851273,20.388561,20.773706,20.25879,22.713242,20.87756
clay_100_200,26.222115,20.538124,23.819962,16.043053,17.929543,14.326002,15.233658,24.835608,24.011719,22.472576
clay_15_30,27.889814,22.956585,25.790165,18.447266,21.19608,18.634373,19.036657,23.587719,28.09961,24.99561
clay_30_60,30.325537,22.849268,28.447216,19.060116,22.023438,16.850243,17.742188,23.418049,30.748531,25.44907
clay_5_15,23.351995,21.329102,22.361866,17.75536,19.567514,19.595798,20.500977,24.035156,23.982456,22.13353
clay_60_100,27.84702,21.963938,25.06,17.552786,21.198925,14.87561,15.758789,26.189085,26.37926,24.928572
om_0_5,0.33000487,0.33727765,0.36163735,0.37383562,0.34113657,0.13878536,0.21766862,1.2245312,0.3432192,0.36573243
om_100_200,-0.6338867,-0.6537512,-0.65935254,-0.64801466,-0.662729,-1.1468182,-1.0872461,-0.22933595,-0.6542405,-0.69328773
om_15_30,0.1395259,0.1379452,0.14404391,0.20449317,0.16054042,-0.31811893,-0.33352685,-0.07798828,0.17398438,0.13488281
om_30_60,-0.080912195,-0.1088612,-0.07142578,-0.028255127,-0.050493643,-0.5379101,-0.49443358,-0.15666993,-0.023642574,-0.09435484
om_5_15,0.28452194,0.28246826,0.29415125,0.33705482,0.29046875,0.017509772,0.08176099,0.4734195,0.29991692,0.3018164
om_60_100,-0.31225586,-0.40687317,-0.37774414,-0.2933382,-0.35398138,-0.7449511,-0.69827807,-0.0516959,-0.26038533,-0.3508789
ph_0_5,6.7677307,7.04175,6.698212,6.7050033,6.6419377,7.13591,7.1874747,6.572118,6.67618,6.949801
ph_100_200,8.0438385,7.997062,7.9516015,7.904576,8.006316,7.7189207,7.662074,8.382951,8.02132,8.033918
ph_15_30,7.0517263,7.3301325,7.0604124,6.897097,6.873028,7.569548,7.6782074,7.119318,6.9291124,7.2722015
ph_30_60,7.548564,7.7950344,7.5384774,7.245699,7.3974147,7.720088,7.7701526,7.604625,7.4273634,7.7200117
ph_5_15,6.8235145,7.1223755,6.7922792,6.759571,6.6938515,7.2990255,7.393276,6.798322,6.7298164,7.0651793
ph_60_100,7.988528,8.069329,7.946502,7.7515926,7.895629,7.7154746,7.7033334,8.016565,7.9526796,8.050671
sand_0_5,32.50293,39.47461,36.60547,42.345776,44.583984,45.215675,38.731373,21.195992,30.91478,34.41855
sand_100_200,26.91683,36.888454,32.708046,53.06778,47.120117,49.677734,47.45996,29.85777,30.673872,30.951078
sand_15_30,28.144249,35.609802,31.699806,42.33235,42.992203,42.852192,38.10588,30.411938,26.289217,30.755112
sand_30_60,24.967253,32.884766,29.785994,39.461914,42.344948,41.713448,36.078278,31.404202,24.72439,29.706055
sand_5_15,31.673998,38.612305,34.722332,41.401367,44.014145,44.552788,39.24266,29.949755,29.717773,33.062927
sand_60_100,24.463902,34.860703,29.85122,48.900978,43.13503,47.38889,42.777615,29.071568,27.307844,30.439453
silt_0_5,41.885895,37.98781,38.855885,38.460785,33.41185,31.855122,37.85742,57.15983,41.58227,40.829758
silt_100_200,45.050243,41.883186,40.88086,27.2818,30.241684,27.956585,26.445366,43.212746,41.308636,40.84314
silt_15_30,40.055336,36.38368,37.295097,36.55371,31.84082,34.59951,40.245846,44.3728,38.991173,38.846718
silt_30_60,41.67916,38.834633,39.12697,37.048042,32.243916,35.415123,38.881233,43.213306,39.67417,41.311764
silt_5_15,41.589127,37.02446,39.269913,37.610672,32.582924,32.525368,38.741447,44.212334,40.19745,40.833008
silt_60_100,45.163086,39.46866,41.828766,28.807846,32.114105,31.181952,31.471622,42.15069,42.256836,42.35392
